failure_type,failure_type_encoded,cpu_percent,memory_percent,restart_count,uptime_percent,replica_count,error_rate_percent,recovery_action,recovery_action_encoded
HighMemory,3,45.17,89.19,0,95.44,1,2.78,adjust_resource_limits,3
PodPending,4,85.1,86.64,2,79.68,6,11.11,no_action_monitor,7
HighCPU,2,97.47,67.96,3,75.33,3,6.08,scale_up_replicas,2
HighMemory,3,72.73,86.22,0,74.2,4,3.59,clear_disk,6
DiskPressure,7,56.59,53.96,3,71.79,1,1.44,clear_disk,6
UnknownFailure,9,48.32,35.81,6,69.87,2,2.86,clear_disk,6
PodPending,4,86.42,78.49,2,25.01,7,2.69,scale_up_replicas,2
HighCPU,2,86.11,51.9,2,85.97,5,5.81,rollout_restart_deployment,1
ContainerNotReady,6,39.61,28.62,2,80.88,3,16.46,clear_disk,6
HighCPU,2,94.25,52.54,3,88.0,5,4.36,clear_disk,6
DiskPressure,7,50.9,54.89,2,83.14,3,2.36,clear_disk,6
OOMKilled,1,14.6,92.08,5,80.69,2,13.76,rollout_restart_deployment,1
OOMKilled,1,51.84,91.84,7,70.66,4,6.82,fix_configuration,4
CrashLoopBackOff,0,22.48,41.95,8,66.68,2,35.52,rollout_restart_deployment,1
ConfigError,8,25.79,9.12,9,39.9,1,47.05,fix_configuration,4
NetworkError,5,12.02,40.24,2,61.24,1,24.09,restart_pod,0
OOMKilled,1,51.62,93.35,6,79.26,1,2.0,adjust_resource_limits,3
ContainerNotReady,6,34.04,13.55,5,51.32,3,24.2,restart_pod,0
UnknownFailure,9,18.15,14.41,5,99.0,3,1.13,no_action_monitor,7
ContainerNotReady,6,59.76,37.42,2,57.13,3,24.53,restart_pod,0
ConfigError,8,33.37,13.54,9,32.35,1,62.7,fix_configuration,4
OOMKilled,1,55.76,98.31,6,75.15,3,29.47,clear_disk,6
DiskPressure,7,47.68,58.33,1,78.22,3,3.72,clear_disk,6
HighMemory,3,72.72,92.19,1,87.88,4,8.83,adjust_resource_limits,3
OOMKilled,1,58.57,96.51,7,59.9,4,10.6,adjust_resource_limits,3
UnknownFailure,9,71.08,85.59,5,26.19,2,7.46,scale_up_replicas,2
UnknownFailure,9,50.59,28.02,0,48.55,3,15.8,drain_node,5
CrashLoopBackOff,0,71.63,9.36,5,57.44,2,34.63,rollout_restart_deployment,1
CrashLoopBackOff,0,55.6,56.38,13,85.0,1,30.29,rollout_restart_deployment,1
OOMKilled,1,76.24,93.06,1,70.58,1,5.3,adjust_resource_limits,3
NetworkError,5,48.51,38.19,4,70.37,1,17.49,restart_pod,0
UnknownFailure,9,64.66,59.94,8,45.11,3,4.51,no_action_monitor,7
PodPending,4,84.78,87.28,2,80.0,7,9.21,clear_disk,6
ConfigError,8,30.08,8.87,3,70.0,1,59.09,fix_configuration,4
CrashLoopBackOff,0,39.01,46.71,14,43.39,3,21.79,rollout_restart_deployment,1
ConfigError,8,39.1,15.11,5,24.88,3,39.47,fix_configuration,4
PodPending,4,75.41,82.12,2,71.78,6,5.56,fix_configuration,4
CrashLoopBackOff,0,12.53,55.84,14,59.16,3,40.03,clear_disk,6
ContainerNotReady,6,28.18,36.1,2,62.76,3,20.71,restart_pod,0
HighMemory,3,54.11,88.23,2,61.5,3,4.3,adjust_resource_limits,3
ConfigError,8,27.15,33.5,9,32.93,3,69.49,fix_configuration,4
HighMemory,3,59.57,84.31,3,63.48,3,9.65,adjust_resource_limits,3
NetworkError,5,29.4,21.79,5,31.11,1,16.83,rollout_restart_deployment,1
HighCPU,2,94.02,44.53,1,76.57,2,3.35,no_action_monitor,7
CrashLoopBackOff,0,64.86,22.14,15,50.37,1,42.11,rollout_restart_deployment,1
ConfigError,8,24.94,26.79,8,30.27,2,50.46,fix_configuration,4
OOMKilled,1,39.24,92.42,2,59.2,2,21.27,adjust_resource_limits,3
CrashLoopBackOff,0,38.79,56.29,9,62.28,2,34.41,rollout_restart_deployment,1
OOMKilled,1,44.91,93.56,7,61.85,2,3.69,adjust_resource_limits,3
ContainerNotReady,6,18.17,34.52,3,40.95,3,8.94,restart_pod,0
UnknownFailure,9,76.05,55.6,7,55.96,4,30.17,adjust_resource_limits,3
PodPending,4,71.81,89.8,0,47.77,3,11.14,scale_up_replicas,2
HighMemory,3,61.63,82.0,0,80.95,2,7.01,clear_disk,6
HighCPU,2,82.0,80.0,1,87.49,4,7.02,rollout_restart_deployment,1
DiskPressure,7,27.52,65.36,3,85.9,3,4.51,rollout_restart_deployment,1
HighMemory,3,59.86,86.53,2,77.84,3,4.46,adjust_resource_limits,3
HighCPU,2,94.86,42.25,1,89.52,5,2.48,adjust_resource_limits,3
ContainerNotReady,6,31.06,49.24,3,54.44,3,25.2,adjust_resource_limits,3
ConfigError,8,25.53,22.29,5,57.43,3,51.17,fix_configuration,4
ContainerNotReady,6,51.53,66.9,5,61.38,2,25.16,clear_disk,6
ConfigError,8,13.62,14.67,3,37.07,1,29.56,fix_configuration,4
PodPending,4,77.5,86.73,0,39.73,2,10.84,rollout_restart_deployment,1
ContainerNotReady,6,39.49,67.77,5,72.87,3,28.91,restart_pod,0
ConfigError,8,24.02,28.11,10,57.47,2,60.03,fix_configuration,4
DiskPressure,7,48.15,58.08,2,80.38,2,2.66,clear_disk,6
NetworkError,5,24.29,61.38,1,90.0,3,12.57,restart_pod,0
ContainerNotReady,6,24.97,57.14,2,73.0,2,25.41,restart_pod,0
ConfigError,8,28.97,22.59,2,44.95,1,53.78,fix_configuration,4
NetworkError,5,22.12,44.73,2,83.57,1,17.33,restart_pod,0
PodPending,4,86.22,83.65,1,44.31,3,10.71,rollout_restart_deployment,1
OOMKilled,1,36.4,99.0,7,76.26,4,7.51,adjust_resource_limits,3
CrashLoopBackOff,0,73.96,53.36,6,49.16,2,41.05,rollout_restart_deployment,1
ConfigError,8,24.95,7.28,10,32.12,1,54.19,fix_configuration,4
HighCPU,2,82.0,56.28,2,86.26,5,1.45,scale_up_replicas,2
UnknownFailure,9,56.77,50.19,7,41.17,2,19.36,adjust_resource_limits,3
DiskPressure,7,57.57,50.65,1,73.01,3,5.45,no_action_monitor,7
NetworkError,5,31.99,11.04,5,72.3,2,13.49,no_action_monitor,7
NetworkError,5,29.15,61.87,2,62.99,2,20.01,restart_pod,0
DiskPressure,7,52.65,62.58,0,65.81,1,3.88,clear_disk,6
OOMKilled,1,50.72,95.82,4,72.89,4,35.7,adjust_resource_limits,3
DiskPressure,7,27.36,69.7,3,86.83,1,4.99,clear_disk,6
NetworkError,5,25.25,64.97,4,32.12,2,14.53,restart_pod,0
OOMKilled,1,73.43,93.89,6,85.96,3,2.91,adjust_resource_limits,3
HighCPU,2,86.44,47.03,0,88.34,1,4.33,scale_up_replicas,2
ConfigError,8,15.1,39.2,8,62.7,1,43.78,fix_configuration,4
CrashLoopBackOff,0,5.8,6.85,14,63.59,1,36.56,drain_node,5
UnknownFailure,9,51.57,48.23,4,48.91,5,17.24,drain_node,5
HighCPU,2,100.0,21.75,1,84.38,2,2.09,scale_up_replicas,2
OOMKilled,1,20.19,91.61,8,73.8,2,18.24,adjust_resource_limits,3
OOMKilled,1,79.21,95.03,8,52.42,2,13.09,adjust_resource_limits,3
ContainerNotReady,6,14.2,21.9,3,73.71,3,21.55,no_action_monitor,7
NetworkError,5,43.81,34.64,1,76.86,2,16.69,restart_pod,0
HighCPU,2,97.58,60.17,3,83.34,1,5.64,scale_up_replicas,2
ConfigError,8,19.82,40.96,10,43.68,2,49.98,fix_configuration,4
PodPending,4,83.09,88.75,1,64.16,7,6.9,restart_pod,0
HighCPU,2,86.22,41.47,3,83.53,2,9.05,scale_up_replicas,2
ContainerNotReady,6,31.25,31.09,2,38.59,3,32.11,restart_pod,0
NetworkError,5,43.54,51.94,1,79.43,3,18.68,restart_pod,0
CrashLoopBackOff,0,41.69,79.77,8,62.69,1,35.88,rollout_restart_deployment,1
CrashLoopBackOff,0,57.41,62.86,12,58.08,2,29.66,rollout_restart_deployment,1
ConfigError,8,27.78,32.76,4,57.52,1,58.27,fix_configuration,4
ContainerNotReady,6,43.95,33.31,1,56.28,1,26.25,scale_up_replicas,2
HighMemory,3,51.39,90.9,3,93.79,2,9.66,adjust_resource_limits,3
HighCPU,2,93.51,50.56,0,84.01,2,7.6,scale_up_replicas,2
ConfigError,8,19.64,19.42,5,58.24,3,52.72,fix_configuration,4
PodPending,4,80.38,85.83,2,69.42,4,3.97,no_action_monitor,7
HighMemory,3,56.99,89.77,1,84.52,1,7.9,scale_up_replicas,2
ContainerNotReady,6,26.73,17.61,5,80.48,1,11.04,scale_up_replicas,2
UnknownFailure,9,56.78,46.7,6,68.25,4,25.21,no_action_monitor,7
HighMemory,3,85.0,82.83,3,89.84,4,5.53,adjust_resource_limits,3
ConfigError,8,30.48,34.57,6,61.15,1,54.27,fix_configuration,4
HighMemory,3,46.66,95.64,0,81.18,3,5.3,adjust_resource_limits,3
NetworkError,5,27.86,55.1,3,89.05,1,10.44,restart_pod,0
CrashLoopBackOff,0,52.44,42.55,9,37.99,2,31.48,rollout_restart_deployment,1
PodPending,4,78.33,69.38,0,34.37,2,3.89,scale_up_replicas,2
ConfigError,8,13.53,11.74,7,34.07,3,39.3,fix_configuration,4
CrashLoopBackOff,0,47.51,61.87,14,63.9,3,27.65,rollout_restart_deployment,1
OOMKilled,1,44.75,92.49,5,61.87,2,20.63,adjust_resource_limits,3
UnknownFailure,9,6.01,47.98,2,58.53,5,16.79,clear_disk,6
CrashLoopBackOff,0,11.5,50.25,7,65.14,1,10.95,rollout_restart_deployment,1
OOMKilled,1,28.51,94.72,6,75.14,1,16.46,adjust_resource_limits,3
UnknownFailure,9,64.01,23.02,6,33.22,1,12.68,adjust_resource_limits,3
HighMemory,3,41.56,86.67,1,89.32,3,6.57,adjust_resource_limits,3
NetworkError,5,26.48,29.53,2,74.31,3,21.7,restart_pod,0
HighCPU,2,85.93,25.78,0,99.0,3,1.33,scale_up_replicas,2
ConfigError,8,25.28,40.11,9,42.21,3,40.99,rollout_restart_deployment,1
DiskPressure,7,23.61,33.4,1,78.77,2,6.9,clear_disk,6
PodPending,4,81.84,77.55,2,63.95,4,5.26,clear_disk,6
DiskPressure,7,49.12,55.63,2,70.91,3,3.97,rollout_restart_deployment,1
HighMemory,3,85.0,94.02,0,90.93,1,3.24,adjust_resource_limits,3
OOMKilled,1,71.92,96.92,6,55.0,2,19.32,adjust_resource_limits,3
NetworkError,5,27.3,16.81,4,66.95,1,24.31,restart_pod,0
DiskPressure,7,47.27,53.36,1,71.69,2,8.93,clear_disk,6
CrashLoopBackOff,0,16.35,67.46,10,60.23,2,21.46,rollout_restart_deployment,1
ConfigError,8,19.52,11.07,5,31.07,1,49.3,fix_configuration,4
PodPending,4,72.59,86.05,2,30.72,8,2.19,adjust_resource_limits,3
ConfigError,8,9.2,46.76,9,10.33,1,56.54,fix_configuration,4
ConfigError,8,12.48,21.5,6,49.06,1,58.32,fix_configuration,4
HighCPU,2,88.6,34.63,1,89.98,3,6.66,scale_up_replicas,2
NetworkError,5,30.73,46.63,3,58.31,3,13.38,no_action_monitor,7
NetworkError,5,35.06,47.79,2,69.64,1,24.07,restart_pod,0
NetworkError,5,23.59,63.73,5,59.86,2,19.05,adjust_resource_limits,3
DiskPressure,7,25.22,52.09,3,80.32,3,5.53,clear_disk,6
UnknownFailure,9,89.05,63.01,1,70.54,2,8.43,restart_pod,0
DiskPressure,7,35.07,69.55,1,84.51,1,1.85,no_action_monitor,7
PodPending,4,90.78,87.2,1,27.72,3,10.16,fix_configuration,4
DiskPressure,7,29.26,18.56,0,73.4,1,4.52,scale_up_replicas,2
ContainerNotReady,6,33.27,75.0,5,70.68,2,21.18,restart_pod,0
ConfigError,8,24.3,20.59,2,53.94,1,55.42,fix_configuration,4
NetworkError,5,39.73,30.64,2,41.54,1,15.99,scale_up_replicas,2
HighMemory,3,64.24,88.78,4,82.92,4,5.3,adjust_resource_limits,3
CrashLoopBackOff,0,48.61,30.46,11,62.89,1,23.59,rollout_restart_deployment,1
PodPending,4,72.69,80.68,2,80.0,7,2.17,scale_up_replicas,2
OOMKilled,1,52.39,97.39,4,90.0,1,11.06,adjust_resource_limits,3
DiskPressure,7,35.52,37.5,0,86.41,3,2.27,clear_disk,6
OOMKilled,1,42.59,89.45,8,78.84,2,24.27,adjust_resource_limits,3
DiskPressure,7,57.69,30.92,2,81.07,3,0.65,clear_disk,6
ContainerNotReady,6,35.87,43.08,2,69.65,1,24.28,no_action_monitor,7
ConfigError,8,19.92,5.38,10,48.03,3,51.46,fix_configuration,4
NetworkError,5,21.46,16.46,5,88.1,2,29.85,scale_up_replicas,2
ConfigError,8,27.06,18.24,8,10.0,3,61.47,drain_node,5
OOMKilled,1,57.33,93.88,5,81.25,2,21.78,adjust_resource_limits,3
UnknownFailure,9,54.4,50.88,3,66.02,1,17.44,no_action_monitor,7
UnknownFailure,9,28.56,60.65,0,46.59,4,22.69,no_action_monitor,7
HighMemory,3,67.98,87.56,2,80.81,3,3.44,adjust_resource_limits,3
PodPending,4,97.03,94.98,2,63.92,7,14.23,scale_up_replicas,2
PodPending,4,86.21,88.11,1,74.49,2,7.98,adjust_resource_limits,3
CrashLoopBackOff,0,41.42,68.67,12,69.7,1,22.45,rollout_restart_deployment,1
ContainerNotReady,6,5.0,37.37,3,33.55,2,12.07,restart_pod,0
HighMemory,3,46.89,88.16,3,88.2,3,9.11,adjust_resource_limits,3
UnknownFailure,9,62.72,65.81,6,78.12,1,0.0,no_action_monitor,7
PodPending,4,85.08,67.63,2,60.18,7,0.0,scale_up_replicas,2
ConfigError,8,18.2,30.48,10,23.23,2,64.43,fix_configuration,4
UnknownFailure,9,62.67,59.52,6,78.96,3,9.13,adjust_resource_limits,3
ConfigError,8,21.52,25.1,10,39.81,1,39.92,adjust_resource_limits,3
DiskPressure,7,26.36,49.95,0,71.08,2,2.53,clear_disk,6
DiskPressure,7,57.78,37.42,1,73.28,2,6.33,clear_disk,6
CrashLoopBackOff,0,58.18,74.33,14,51.14,1,37.84,rollout_restart_deployment,1
CrashLoopBackOff,0,18.74,44.48,13,57.27,1,24.24,clear_disk,6
DiskPressure,7,39.57,47.6,3,65.18,1,5.71,clear_disk,6
HighMemory,3,57.26,92.01,0,81.64,1,6.16,adjust_resource_limits,3
DiskPressure,7,46.39,50.42,1,89.18,2,5.52,clear_disk,6
UnknownFailure,9,50.46,38.82,3,62.62,2,15.34,no_action_monitor,7
ConfigError,8,35.0,11.27,2,49.9,1,66.9,fix_configuration,4
HighMemory,3,37.7,90.09,4,69.35,3,7.29,adjust_resource_limits,3
HighCPU,2,90.21,53.05,0,81.71,2,7.16,adjust_resource_limits,3
HighMemory,3,63.44,92.15,1,81.61,4,7.72,adjust_resource_limits,3
NetworkError,5,31.07,65.51,4,46.48,1,6.19,restart_pod,0
NetworkError,5,7.87,8.81,3,75.1,1,24.41,clear_disk,6
PodPending,4,94.66,73.55,1,64.91,6,8.23,rollout_restart_deployment,1
CrashLoopBackOff,0,43.33,62.51,5,48.66,1,55.87,rollout_restart_deployment,1
PodPending,4,95.66,77.75,0,28.19,4,7.65,scale_up_replicas,2
ContainerNotReady,6,37.73,55.98,1,47.47,3,22.28,adjust_resource_limits,3
HighMemory,3,37.06,93.18,2,78.92,3,11.81,scale_up_replicas,2
DiskPressure,7,21.81,75.56,1,57.96,1,1.35,restart_pod,0
CrashLoopBackOff,0,6.46,55.01,10,42.39,2,16.52,rollout_restart_deployment,1
OOMKilled,1,54.06,96.36,5,70.4,3,13.7,adjust_resource_limits,3
NetworkError,5,62.43,42.19,4,77.09,2,21.14,restart_pod,0
OOMKilled,1,28.04,96.65,4,63.44,1,14.27,restart_pod,0
HighCPU,2,93.53,25.88,0,72.12,4,7.73,scale_up_replicas,2
NetworkError,5,25.04,30.76,4,67.5,1,16.91,restart_pod,0
HighCPU,2,94.09,54.23,1,86.59,5,2.89,scale_up_replicas,2
HighMemory,3,62.9,96.53,0,74.32,3,8.75,adjust_resource_limits,3
ContainerNotReady,6,34.23,51.02,4,66.93,3,19.73,restart_pod,0
NetworkError,5,40.25,58.2,1,68.54,2,23.83,restart_pod,0
NetworkError,5,29.47,63.56,3,74.61,3,20.62,restart_pod,0
NetworkError,5,33.16,54.67,4,55.91,1,5.74,restart_pod,0
NetworkError,5,36.09,57.85,4,88.87,2,19.14,restart_pod,0
DiskPressure,7,45.65,62.79,2,72.36,1,5.03,fix_configuration,4
HighMemory,3,58.72,96.06,3,87.23,4,8.43,adjust_resource_limits,3
HighMemory,3,56.92,100.0,4,84.84,1,6.74,adjust_resource_limits,3
PodPending,4,78.91,81.22,0,52.29,2,4.85,fix_configuration,4
ConfigError,8,17.08,23.34,5,40.84,2,23.56,fix_configuration,4
UnknownFailure,9,46.62,40.57,2,64.58,4,20.28,no_action_monitor,7
UnknownFailure,9,100.0,66.96,2,40.31,2,9.24,no_action_monitor,7
CrashLoopBackOff,0,51.92,59.67,8,74.81,2,29.03,rollout_restart_deployment,1
CrashLoopBackOff,0,32.73,85.05,10,60.88,3,19.83,rollout_restart_deployment,1
CrashLoopBackOff,0,69.5,20.08,10,20.0,1,37.69,rollout_restart_deployment,1
OOMKilled,1,68.21,96.24,2,56.98,2,14.53,clear_disk,6
CrashLoopBackOff,0,34.44,39.25,12,81.18,1,19.53,rollout_restart_deployment,1
PodPending,4,87.53,91.55,0,57.63,5,12.96,scale_up_replicas,2
ContainerNotReady,6,43.46,46.44,2,70.5,1,24.91,restart_pod,0
ContainerNotReady,6,29.22,20.47,1,79.31,3,29.29,restart_pod,0
HighMemory,3,63.78,88.26,1,64.42,1,6.26,adjust_resource_limits,3
UnknownFailure,9,16.28,12.78,6,64.59,5,5.89,no_action_monitor,7
HighCPU,2,93.73,52.61,2,80.15,2,0.0,scale_up_replicas,2
CrashLoopBackOff,0,22.94,33.68,5,41.62,1,26.71,rollout_restart_deployment,1
ContainerNotReady,6,17.79,37.54,1,68.61,3,13.39,restart_pod,0
HighCPU,2,94.13,34.58,1,76.1,4,4.66,drain_node,5
DiskPressure,7,55.31,68.01,1,91.12,2,3.25,clear_disk,6
CrashLoopBackOff,0,37.45,29.35,12,41.19,3,32.29,rollout_restart_deployment,1
NetworkError,5,23.36,58.49,5,43.06,3,23.89,restart_pod,0
DiskPressure,7,29.91,42.69,1,80.39,1,2.65,fix_configuration,4
ContainerNotReady,6,27.26,27.82,2,90.0,3,15.06,restart_pod,0
ConfigError,8,20.52,22.98,2,43.32,1,40.78,clear_disk,6
HighCPU,2,91.0,60.91,0,78.1,3,8.27,scale_up_replicas,2
PodPending,4,94.48,86.85,1,51.4,4,0.0,scale_up_replicas,2
ConfigError,8,24.24,21.09,4,36.31,3,21.54,fix_configuration,4
PodPending,4,88.95,70.41,0,52.37,8,11.62,scale_up_replicas,2
UnknownFailure,9,38.27,80.4,0,50.06,4,16.8,no_action_monitor,7
PodPending,4,74.56,90.25,2,67.52,7,9.87,scale_up_replicas,2
PodPending,4,81.85,70.78,0,42.19,4,12.44,adjust_resource_limits,3
DiskPressure,7,46.95,31.7,3,63.75,3,6.51,clear_disk,6
PodPending,4,88.9,72.13,2,14.68,6,5.5,scale_up_replicas,2
PodPending,4,70.19,80.75,0,80.0,8,1.61,scale_up_replicas,2
UnknownFailure,9,45.35,82.8,5,79.98,4,10.81,no_action_monitor,7
DiskPressure,7,42.8,37.66,0,72.32,2,4.49,clear_disk,6
OOMKilled,1,72.1,93.14,8,68.1,2,7.41,adjust_resource_limits,3
ConfigError,8,22.25,32.84,8,49.44,3,32.45,fix_configuration,4
CrashLoopBackOff,0,42.94,36.45,11,75.17,1,28.39,scale_up_replicas,2
ContainerNotReady,6,12.21,36.7,1,71.88,3,21.95,restart_pod,0
ContainerNotReady,6,27.32,31.22,4,50.19,1,16.84,restart_pod,0
CrashLoopBackOff,0,22.89,69.4,10,46.48,1,31.22,rollout_restart_deployment,1
ConfigError,8,20.54,34.46,7,56.34,2,60.44,restart_pod,0
ContainerNotReady,6,40.29,24.27,1,48.97,1,13.23,restart_pod,0
OOMKilled,1,65.04,95.22,7,78.69,4,23.02,adjust_resource_limits,3
PodPending,4,79.19,82.26,2,49.74,8,6.69,no_action_monitor,7
NetworkError,5,26.98,57.77,2,65.78,2,20.11,restart_pod,0
UnknownFailure,9,29.93,66.88,2,44.9,3,15.64,restart_pod,0
HighCPU,2,94.41,48.81,2,87.54,2,5.56,scale_up_replicas,2
NetworkError,5,34.41,40.19,1,65.93,2,21.04,adjust_resource_limits,3
CrashLoopBackOff,0,41.2,27.92,12,57.72,1,32.65,rollout_restart_deployment,1
UnknownFailure,9,52.43,73.84,8,77.4,1,5.04,scale_up_replicas,2
ConfigError,8,18.33,21.89,3,39.93,2,49.96,fix_configuration,4
CrashLoopBackOff,0,52.23,53.55,15,78.46,3,32.41,rollout_restart_deployment,1
ContainerNotReady,6,22.54,32.99,1,74.06,2,7.09,restart_pod,0
HighCPU,2,85.27,55.16,3,92.61,1,8.92,scale_up_replicas,2
CrashLoopBackOff,0,35.66,71.22,7,61.08,1,14.69,rollout_restart_deployment,1
PodPending,4,84.94,77.05,1,68.36,6,7.9,scale_up_replicas,2
UnknownFailure,9,18.05,12.51,7,64.58,5,0.0,no_action_monitor,7
ContainerNotReady,6,27.23,43.47,2,49.14,3,27.95,restart_pod,0
PodPending,4,94.53,73.87,2,44.04,2,11.98,scale_up_replicas,2
NetworkError,5,34.98,19.08,1,62.85,3,13.18,rollout_restart_deployment,1
CrashLoopBackOff,0,62.16,62.12,10,55.29,1,31.42,rollout_restart_deployment,1
OOMKilled,1,23.84,92.74,6,85.53,1,15.43,adjust_resource_limits,3
HighCPU,2,96.65,58.48,0,95.51,2,0.0,scale_up_replicas,2
NetworkError,5,32.18,64.67,4,79.34,1,30.6,drain_node,5
HighMemory,3,59.9,88.31,1,69.73,1,2.71,drain_node,5
OOMKilled,1,66.14,96.54,3,69.33,4,19.07,adjust_resource_limits,3
NetworkError,5,37.14,54.43,5,79.29,2,11.47,no_action_monitor,7
PodPending,4,87.19,68.65,2,52.66,7,10.42,clear_disk,6
NetworkError,5,15.29,33.75,5,65.14,2,21.87,restart_pod,0
NetworkError,5,30.82,22.42,4,64.19,3,6.78,restart_pod,0
PodPending,4,83.14,78.47,0,47.31,4,5.76,scale_up_replicas,2
HighCPU,2,84.46,49.5,2,92.45,2,8.78,scale_up_replicas,2
CrashLoopBackOff,0,88.79,83.83,9,42.05,2,25.92,rollout_restart_deployment,1
OOMKilled,1,49.54,94.74,4,70.7,4,34.26,adjust_resource_limits,3
PodPending,4,76.34,76.29,2,80.0,8,5.54,scale_up_replicas,2
NetworkError,5,40.9,55.52,2,72.3,1,21.53,restart_pod,0
DiskPressure,7,59.08,41.6,1,70.04,2,5.07,fix_configuration,4
ContainerNotReady,6,5.0,61.25,5,69.55,3,21.22,fix_configuration,4
UnknownFailure,9,9.24,17.83,8,57.03,1,18.46,no_action_monitor,7
ContainerNotReady,6,5.0,51.83,5,59.6,2,18.21,rollout_restart_deployment,1
NetworkError,5,38.8,44.04,1,54.31,2,25.0,restart_pod,0
PodPending,4,70.0,78.4,0,53.07,8,6.62,scale_up_replicas,2
NetworkError,5,7.6,51.37,5,46.27,3,19.46,restart_pod,0
ContainerNotReady,6,37.3,40.3,1,82.54,2,19.57,restart_pod,0
PodPending,4,88.42,81.55,0,62.26,6,13.57,scale_up_replicas,2
CrashLoopBackOff,0,42.75,65.64,15,81.83,2,43.57,rollout_restart_deployment,1
ConfigError,8,16.15,35.36,6,43.73,3,66.76,fix_configuration,4
CrashLoopBackOff,0,51.37,55.51,10,66.51,2,32.55,rollout_restart_deployment,1
PodPending,4,87.35,80.73,2,44.97,6,15.05,scale_up_replicas,2
UnknownFailure,9,61.94,35.67,2,59.45,3,20.45,rollout_restart_deployment,1
NetworkError,5,23.96,17.77,2,43.87,2,6.17,adjust_resource_limits,3
UnknownFailure,9,17.53,20.48,1,92.7,1,11.63,no_action_monitor,7
CrashLoopBackOff,0,32.73,21.13,8,57.85,3,12.63,drain_node,5
OOMKilled,1,42.61,100.0,7,76.64,4,13.32,scale_up_replicas,2
ConfigError,8,26.98,19.78,7,27.99,3,75.56,fix_configuration,4
HighMemory,3,42.87,89.23,1,83.06,3,3.19,restart_pod,0
UnknownFailure,9,66.27,42.34,8,78.28,2,16.69,no_action_monitor,7
CrashLoopBackOff,0,35.14,84.21,14,50.02,3,43.49,fix_configuration,4
HighMemory,3,77.62,99.85,4,81.74,1,3.63,adjust_resource_limits,3
CrashLoopBackOff,0,81.54,43.31,13,47.8,2,28.1,scale_up_replicas,2
PodPending,4,77.15,86.21,2,37.89,5,6.85,scale_up_replicas,2
HighCPU,2,96.84,64.36,2,85.12,3,5.51,scale_up_replicas,2
ConfigError,8,20.12,20.69,10,39.96,2,57.36,no_action_monitor,7
ConfigError,8,18.74,29.2,4,27.45,1,40.94,clear_disk,6
PodPending,4,79.13,77.48,2,75.74,4,10.9,scale_up_replicas,2
UnknownFailure,9,23.08,60.94,7,57.19,3,6.54,scale_up_replicas,2
ContainerNotReady,6,12.71,54.58,2,44.54,3,19.58,restart_pod,0
HighMemory,3,45.81,94.88,3,76.66,3,5.6,restart_pod,0
DiskPressure,7,43.49,59.54,0,75.13,2,3.91,rollout_restart_deployment,1
ContainerNotReady,6,27.22,16.38,2,48.22,2,25.75,restart_pod,0
NetworkError,5,30.41,30.04,3,43.91,2,6.24,restart_pod,0
HighCPU,2,88.48,68.32,1,80.54,4,6.2,scale_up_replicas,2
DiskPressure,7,35.95,64.58,3,71.48,3,1.54,no_action_monitor,7
ConfigError,8,17.31,43.34,9,66.85,3,57.3,fix_configuration,4
ConfigError,8,18.63,28.04,9,44.75,2,49.4,fix_configuration,4
PodPending,4,88.53,83.67,2,43.68,4,3.22,scale_up_replicas,2
DiskPressure,7,38.1,66.99,1,74.69,2,4.6,restart_pod,0
CrashLoopBackOff,0,34.34,28.81,12,56.42,1,19.78,rollout_restart_deployment,1
UnknownFailure,9,22.84,80.14,6,56.6,1,6.07,rollout_restart_deployment,1
NetworkError,5,59.27,52.22,2,59.43,3,23.42,fix_configuration,4
DiskPressure,7,41.46,44.61,0,79.75,3,3.35,clear_disk,6
UnknownFailure,9,51.89,75.53,6,83.22,2,7.6,no_action_monitor,7
ConfigError,8,24.86,13.72,3,46.76,1,52.23,fix_configuration,4
PodPending,4,88.03,79.62,1,80.0,8,4.39,drain_node,5
PodPending,4,92.77,73.75,0,60.09,5,10.3,scale_up_replicas,2
NetworkError,5,35.82,32.57,1,67.12,2,22.14,restart_pod,0
ContainerNotReady,6,61.85,26.91,4,56.66,1,22.28,restart_pod,0
HighCPU,2,90.72,53.5,0,93.56,4,0.0,rollout_restart_deployment,1
CrashLoopBackOff,0,28.04,15.15,8,42.06,3,54.05,rollout_restart_deployment,1
PodPending,4,89.79,89.61,1,48.39,3,11.03,scale_up_replicas,2
OOMKilled,1,14.67,98.11,3,61.8,2,10.75,adjust_resource_limits,3
DiskPressure,7,52.58,59.75,2,75.85,1,1.27,clear_disk,6
HighMemory,3,61.5,95.8,3,74.68,2,9.94,adjust_resource_limits,3
DiskPressure,7,31.91,55.1,3,90.35,3,2.64,clear_disk,6
HighCPU,2,97.27,80.0,3,86.37,3,3.42,scale_up_replicas,2
ContainerNotReady,6,23.41,59.57,1,84.15,1,31.59,restart_pod,0
HighCPU,2,91.84,70.57,1,84.61,5,2.35,scale_up_replicas,2
CrashLoopBackOff,0,62.48,82.68,5,44.69,3,19.61,rollout_restart_deployment,1
DiskPressure,7,45.6,69.34,0,63.66,2,4.45,clear_disk,6
ContainerNotReady,6,26.14,50.51,3,53.03,2,26.17,restart_pod,0
UnknownFailure,9,46.04,26.57,8,66.27,4,0.0,scale_up_replicas,2
